name,type,state,county,city,zip
Mitchell Police Department,Local police department,SD,Davison,Mitchell,57301
Idaho County Sheriff's Office,Sheriff's office,ID,Idaho,Grangeville,83530
Grass Valley Police Department,Local police department,CA,Nevada,Grass Valley,95945
Hinsdale Police Dept,Local police department,IL,Du Page,Hinsdale,60521
Dawson County Sheriff's Office,Sheriff's office,NE,Dawson,Lexington,68850
Washington Police Department,Local police department,MO,Franklin,Washington,63090
Vail Police Department,Local police department,CO,Eagle,Vail,81657
University of Missouri - Kansas City Police Dept.,Special jurisdiction,MO,Jackson,Kansas City,64110
Dixon Police Department,Local police department,IL,Lee,Dixon,61021
William Paterson University,Special jurisdiction,NJ,Passaic,Wayne,07470
Upper St. Clair Township Police Department,Local police department,PA,Allegheny,Pittsburgh,15241
Tennessee State Fire Marshal,Special jurisdiction,TN,Davidson,Nashville,37210
Alaska State Parks,Special jurisdiction,AK,Anchorage,Anchorage,99501
Ector Co. I.S.D. Police Dept.,Special jurisdiction,TX,Ector,Odessa,79760
Millbrook Police Department,Local police department,AL,Elmore,Millbrook,36054
Klein I.S.D. Police Dept.,Special jurisdiction,TX,Harris,Klein,77379
Bibb County Board of Education Campus Police,Special jurisdiction,GA,Bibb,Macon,31204
New Mexico Dept of Public Safety - Special Investigations Division,Special jurisdiction,NM,Bernalillo,Albuquerque,87110
Antioch Police Dept,Local police department,IL,Lake,Antioch,60002
Hillsborough Police Department,Local police department,CA,San Mateo,Hillsborough,94010
Laredo I.S.D. Police Dept.,Special jurisdiction,TX,Webb,Laredo,78040
North Carolina Central University Police Dept.,Special jurisdiction,NC,Durham,Durham,27707
Fort Morgan Police Department,Local police department,CO,Morgan,Fort Morgan,80701
Randolph County Sheriff's Office,Sheriff's office,IN,Randolph,Winchester,47394
Clute Police Department,Local police department,TX,Brazoria,Clute,77531
Harrison Police Department,Local police department,AR,Boone,Harrison,72601
Bell Police Department,Local police department,CA,Los Angeles,Bell,90201
Irondale Police Department,Local police department,AL,Jefferson,Irondale,35210
Wayne County Sheriff's Office,Sheriff's office,GA,Wayne,Jesup,31545
Nevada Division of State Parks,Special jurisdiction,NV,Carson City,Carson City,89701
Mercedes Police Department,Local police department,TX,Hidalgo,Mercedes,78570
Richmond Hill Police Dept.,Local police department,GA,Bryan,Richmond Hill,31324
Geary County Sheriff's Office,Sheriff's office,KS,Geary,Junction City,66441
Cordele Police Department,Local police department,GA,Crisp,Cordele,31015
Franklin County Sheriff's Office,Sheriff's office,WA,Franklin,Pasco,99301
Berks County District Attorney,Special jurisdiction,PA,Berks,Reading,19601
Tiverton Police Department,Local police department,RI,Bristol,Tiverton,02878
University of Kansas Police Department,Special jurisdiction,KS,Douglas,Lawrence,66045
Tarboro Police Department,Local police department,NC,Edgecombe,Tarboro,27886
Brawley Police Department,Local police department,CA,Imperial,Brawley,92227
Wichita Airport Authority Safety Department,Special jurisdiction,KS,Sedgwick,Wichita,67209
Oakdale Police Department,Local police department,CA,Stanislaus,Oakdale,95361
Steger Police Dept,Local police department,IL,Cook,Steger,60475
Shorewood Police Department,Local police department,IL,Will,Shorewood,60404
Jim Wells County Sheriff's Office,Sheriff's office,TX,Jim Wells,Alice,78332
Ripon Police Department,Local police department,CA,San Joaquin,Ripon,95366
Coffeyville Police Department,Local police department,KS,Montgomery,Coffeyville,67337
Marble Falls Police Department,Local police department,TX,Burnet,Marble Falls,78654
Mono County Sheriff's Office,Sheriff's office,CA,Mono,Bridgeport,93517
Grand Forks County Sheriff's Office,Sheriff's office,ND,Grand Forks,Grand Forks,58201
Lino Lakes Police Department,Local police department,MN,Anoka,Lino Lakes,55014
Buffalo County Sheriff's Office,Sheriff's office,NE,Buffalo,Kearney,68848
Pike County Sheriff's Office,Sheriff's office,MS,Pike,Magnolia,39652
Farmville Police Department,Local police department,VA,Prince Edward,Farmville,23901
Westwood Police,Local police department,NJ,Bergen,Westwood,07675
Soddy Daisy Police Department,Local police department,TN,Hamilton,Soddy Daisy,37379
Philadelphia Police Department,Local police department,MS,Neshoba,Philadelphia,39350
Fremont County Sheriff's Office,Sheriff's office,ID,Fremont,Saint Anthony,83445
Sachse Police Department,Local police department,TX,Dallas,Sachse,75048
Cortez Police Department,Local police department,CO,Montezuma,Cortez,81321
Kean University Police,Special jurisdiction,NJ,Union,Union,07083
Fairview Park Police Department,Local police department,OH,Cuyahoga,Fairview Park,44126
Highland Park Police,Local police department,NJ,Middlesex,Highland Park,08904
West Goshen Township Police Department,Local police department,PA,Chester,West Chester,19380
Bexar County Hospital District Police Dept.,Special jurisdiction,TX,Bexar,San Antonio,78229
Teton County Sheriff's Office,Sheriff's office,WY,Teton,Jackson,83001
Mifflin Co. Regional Police Department,Local police department,PA,Mifflin,Yeagertown,17099
Rosebud Sioux Tribal Police,Local police department,SD,Todd,Rosebud,57570
Ball State University Police Department,Special jurisdiction,IN,Delaware,Muncie,47406
Lansing School District Dept of Public Safety,Special jurisdiction,MI,Ingham,Lansing,48933
Evanston Police Department,Local police department,WY,Uinta,Evanston,82930
Forest Acres Police Department,Local police department,SC,Richland,Columbia,29206
Lamar County Sheriff's Office,Sheriff's office,TX,Lamar,Paris,75460
Clinton Police Department,Local police department,MA,Worcester,Clinton,01510
West Norriton Township Police Department,Local police department,PA,Montgomery,Norristown,19403
South Boston Police Department,Local police department,VA,Halifax,South Boston,24592
Allen Parish Sheriff's Office,Sheriff's office,LA,Allen,Oberlin,70655
Belton Police Department,Local police department,TX,Bell,Belton,76513
Wabash Police,Local police department,IN,Wabash,Wabash,46992
Pottsville Police Department,Local police department,PA,Schuylkill,Pottsville,17901
Palos Heights Police Dept,Local police department,IL,Cook,Palos Heights,60463
Accomack County Sheriff's Office,Sheriff's office,VA,Accomack,Accomac,23301
Las Vegas Police Department,Local police department,NM,San Miguel,Las Vegas,87701
Faribault Police Department,Local police department,MN,Rice,Faribault,55021
Shaler Township Police Department,Local police department,PA,Allegheny,Glenshaw,15116
Socorro Police Department,Local police department,TX,El Paso,El Paso,79927
Fannin County Sheriff's Office,Sheriff's office,GA,Fannin,Blue Ridge,30513
Allegany County Sheriff's Office,Sheriff's office,NY,Allegany,Belmont,14813
Webster Police Department,Local police department,MA,Worcester,Webster,01570
Barnwell County Sheriff's Office,Sheriff's office,SC,Barnwell,Barnwell,29812
Polk County Sheriff's Office,Sheriff's office,GA,Polk,Cedartown,30125
Two Rivers Police Department,Local police department,WI,Manitowoc,Two Rivers,54241
Seabrook Police Department,Local police department,NH,Rockingham,Seabrook,03874
Nicholas County Sheriff's Office,Sheriff's office,WV,Nicholas,Summersville,26651
Colchester Police Department,Local police department,VT,Chittenden,Colchester,05446
Delta County Sheriff's Office,Sheriff's office,CO,Delta,Delta,81416
Sauk Village Police Dept,Local police department,IL,Cook,Sauk Village,60411
Mantua Township Police,Local police department,NJ,Gloucester,Mantua,08051
Suffern Village Police Department,Local police department,NY,Rockland,Suffern,10901
Springville Police Department,Local police department,UT,Utah,Springville,84663
Brentwood Police Department,Local police department,MO,St. Louis,Brentwood,63144
Madison Police,Local police department,IN,Jefferson,Madison,47250
Paris Police Department,Local police department,KY,Bourbon,Paris,40361
Puyallup Tribal Police,Local police department,WA,Pierce,Tacoma,98404
Easthampton Police Department,Local police department,MA,Hampshire,Easthampton,01027
El Dorado Police Department,Local police department,KS,Butler,El Dorado,67042
Hancock County Sheriff's Office,Sheriff's office,WV,Hancock,New Cumberland,26047
Ashland Police Department,Local police department,OR,Jackson,Ashland,97520
Chester Police Department,Local police department,SC,Chester,Chester,29706
Anoka Police Department,Local police department,MN,Anoka,Anoka,55303
Havelock Public Safety,Local police department,NC,Craven,Havelock,28532
Fulton Police Department,Local police department,MO,Callaway,Fulton,65251
Caldwell County Sheriff's Office,Sheriff's office,TX,Caldwell,Lockhart,78644
Gilpin County Sheriff's Office,Sheriff's office,CO,Gilpin,Golden,80403
Adams County Sheriff's Office,Sheriff's office,WI,Adams,Friendship,53934
Norton Police Department,Local police department,MA,Bristol,Norton,02766
Carthage Police Department,Local police department,MO,Jasper,Carthage,64836
Winnetka Police Dept,Local police department,IL,Cook,Winnetka,60093
Menomonie Police Department,Local police department,WI,Dunn,Menomonie,54751
York Police Department,Local police department,ME,York,York,03909
Green Township Police Department,Local police department,OH,Hamilton,Cincinnati,45247
Tallmadge Police Department,Local police department,OH,Summit,Tallmadge,44278
Greene County Sheriff's Office,Sheriff's office,VA,Greene,Stanardsville,22973
Abington Police Department,Local police department,MA,Plymouth,Abington,02351
Bay Saint Louis Police Department,Local police department,MS,Hancock,Bay Saint Louis,39520
Zachary Police Department,Local police department,LA,East Baton Rouge,Zachary,70791
Glen Ridge Police,Local police department,NJ,Essex,Glen Ridge,07028
Baraboo Police Department,Local police department,WI,Sauk,Baraboo,53913
McPherson Police Department,Local police department,KS,McPherson,McPherson,67460
Dukes County Sheriff's Office,Sheriff's office,MA,Dukes,Edgartown,02539
Benton County Sheriff's Office,Sheriff's office,MN,Benton,Foley,56329
Tennessee State University,Special jurisdiction,TN,Davidson,Nashville,37209
Taylor Police Department,Local police department,TX,Williamson,Taylor,76574
Garden City Police Department,Local police department,ID,Ada,Garden City,83714
White Lake Township Police Department,Local police department,MI,Oakland,White Lake,48383
Oxford Police Department,Local police department,OH,Butler,Oxford,45056
Seaford Police Department,Local police department,DE,Sussex,Seaford,19973
Wetumpka Police Department,Local police department,AL,Elmore,Wetumpka,36092
Knoxville Metro Airport Authority Police,Special jurisdiction,TN,Blount,Knoxville,37901
James Madison University Police Department,Special jurisdiction,VA,Harrisonburg City,Harrisonburg,22807
Marion County Sheriff's Office,Sheriff's office,WV,Marion,Fairmont,26555
Pascua Yaqui Tribal Police,Local police department,AZ,Pima,Tucson,85757
University of North Carolina - Wilmington Police Dept,Special jurisdiction,NC,New Hanover,Wilmington,28403
Georgia World Congress Center,Special jurisdiction,GA,Fulton,Atlanta,30313
Fayette County Schools Police Department,Special jurisdiction,KY,Fayette,Lexington,40502
Southern Connecticut State University Police,Special jurisdiction,CT,New Haven,New Haven,06515
Madison County Sheriff's Office,Sheriff's office,NE,Madison,Madison,68748
Sheffield Police Department,Local police department,AL,Colbert,Sheffield,35660
Greensburg Police Department,Local police department,PA,Westmoreland,Greensburg,15601
San Carlos Police Department,Local police department,CA,San Mateo,San Carlos,94070
University of Colorado - Denver Police Dept,Special jurisdiction,CO,Adams,Aurora,80045
San Marino Police Department,Local police department,CA,Los Angeles,San Marino,91108
La Grange Police Dept,Local police department,IL,Cook,La Grange,60525
University of Oregon Dept of Public Safety,Special jurisdiction,OR,Lane,Eugene,97403
Oak Harbor Police Department,Local police department,WA,Island,Oak Harbor,98277
Centralia Police Dept,Local police department,IL,Marion,Centralia,62801
Georgia Southern University Dept Public Safety,Special jurisdiction,GA,Bulloch,Statesboro,30460
Espanola Police Department,Local police department,NM,Rio Arriba,Espanola,87532
Crawford County Sheriff's Office,Sheriff's office,AR,Crawford,Van Buren,72957
Lanett Police Department,Local police department,AL,Chambers,Lanett,36863
El Camino College Police,Special jurisdiction,CA,Los Angeles,Torrance,90506
Lilburn Police Department,Local police department,GA,Gwinnett,Lilburn,30247
Atmore Police Department,Local police department,AL,Escambia,Atmore,36504
Onalaska Police Department,Local police department,WI,La Crosse,Onalaska,54650
Arlington Police Department,Local police department,WA,Snohomish,Arlington,98223
