name,type,state,county,city,zip
Lake County Sheriff's Office,Sheriff's office,FL,Lake,Tavares,32778
Charlotte County Sheriff's Office,Sheriff's office,FL,Charlotte,Punta Gorda,33982
Topeka Police Department,Local police department,KS,Shawnee,Topeka,66603
East Orange Police,Local police department,NJ,Essex,East Orange,07017
Lakewood Police Department,Local police department,CO,Jefferson,Lakewood,80226
Tennessee Bureau of Investigation,Special jurisdiction,TN,Davidson,Nashville,37216
Harford County Sheriff's Office,Sheriff's office,MD,Harford,Bel Air,21014
San Joaquin County Sheriff's Office,Sheriff's office,CA,San Joaquin,French Camp,95231
Bernalillo County Sheriff's Office,Sheriff's office,NM,Bernalillo,Albuquerque,87125
Georgia Bureau of Investigation,Special jurisdiction,GA,DeKalb,Decatur,30034
Evansville Police,Local police department,IN,Vanderburgh,Evansville,47708
Texas Alcoholic Beverage Commission,Special jurisdiction,TX,Travis,Austin,78731
Alachua County Sheriff's Office,Sheriff's office,FL,Alachua,Gainesville,32602
Gainesville Police Department,Local police department,FL,Alachua,Gainesville,32602
Tennessee Wildlife Resources Agency,Special jurisdiction,TN,Davidson,Nashville,37204
Alaska State Troopers,Primary state law enforcement agency,AK,Anchorage,Anchorage,99507
Springfield Police Dept,Local police department,IL,Sangamon,Springfield,62701
McAllen Police Department,Local police department,TX,Hidalgo,McAllen,78505
Monroe County Sheriff's Office,Sheriff's office,NY,Monroe,Rochester,14614
Cambridge Police Department,Local police department,MA,Middlesex,Cambridge,02142
Westchester County Department of Public Safety,Local police department,NY,Westchester,Hawthorne,10532
Macon Police Department,Local police department,GA,Bibb,Macon,31202
Suffolk County Sheriff's Office,Sheriff's office,NY,Suffolk,Riverhead,11901
St. Johns County Sheriff's Office,Sheriff's office,FL,St. Johns,Saint Augustine,32084
Wilmington Police Department,Local police department,NC,New Hanover,Wilmington,28402
Roanoke City Police Department,Local police department,VA,Roanoke City,Roanoke,24016
Glendale Police Department,Local police department,CA,Los Angeles,Glendale,91206
Idaho State Police,Primary state law enforcement agency,ID,Ada,Meridian,83642
Tuscaloosa Police Department,Local police department,AL,Tuscaloosa,Tuscaloosa,35401
Morris County Sheriff's Office,Sheriff's office,NJ,Morris,Morristown,07963
Hidalgo County Sheriff's Office,Sheriff's office,TX,Hidalgo,Edinburg,78542
Modesto Police Department,Local police department,CA,Stanislaus,Modesto,95353
Maryland State Forest And Park Service,Special jurisdiction,MD,Anne Arundel,Annapolis,21401
Ascension Parish Sheriff's Office,Sheriff's office,LA,Ascension,Donaldsonville,70346
Pasadena Police Department,Local police department,TX,Harris,Pasadena,77506
Charleston County Sheriff's Office,Sheriff's office,SC,Charleston,Charleston,29405
